,lemmatized
0,try avoid sort conflict
1,friend open mental addiction weed take life make depressed
2,save girl suicide go swallow bunch pill talk calm love way
3,nt think reallyi think indirectly
4,friend fit category therapist call spiral pretty call time frustrate boyfriend ask logical fight crazy ask ok say hand remote
5,couple year ago friend go switch school low self esteem help overcome shit
6,roommate go death loss gf bedroom
7,ve couple friend friend severe depression emotional problem help eventually relationship start suffer result personal problem
8,listen talk relationship trouble offer advice personal experience
9,listen comfort sister lose virgity night walk boyfriend cut parent find throw house simply bring supportive focus
10,take week work pack car pick friend verge lose go campingsurfe week parent big problem away physical activity day week help feel
11,memorial anniversary friend father support remind
12,anxious girlfriend need help
13,
14,mom
15,ex gf cuttersuicidal get issue slowly die inside
16,help advise friend face circumstance similar
17,help friend
18,friend girl talk tryin feel well
19,express concern openness friend deal trouble let know fall open dialog
20,listen girlfriend problem
21,friend think suicide day manage talk
22,have go depression anxiety understand struggle personal method cope stuff hit have knowledge allow help people internet friend face similar issue talk understand important listening offer experience help face
23,friend bring issue have feel good advice feel adequate normal try kind helpful honest
24,guess people nt guy
25,year good friend diagnose anxiety disorder depression try commit suicide try good entire time recovery
26,clean friend campsite slightly help live summer alcoholic mt hood wood
27,listen pretty damn well appose tell story
28,help friend deal alcoholic mother
29,tutor homeless man shelter help obtain ge age read grade level
30,high school teacher everyday
31,friend come talk issue face life
32,summer camp countless kid issue tell nt listen restless
33,haha grade kid get reject twice want sign yearbook nervous tell care reject think probably come head
34,nt specific example let people know want talk
35,friend go type struggle let know talk honest truth hurt good way start
36,friend big addiction issue end completely isolate skip school low self esteem convince doc promise go rehab month clean complete lack support family school change think late help like month
37,good listener people think lot people want hear necessarily fix need express relief thought trap confine head lend ear speak
38,good friend diagnose cancer time visit day treatment come school help catch school work
39,think qualified resource
40,time friend try hard drug cocaine deal depression girl
41,lot friend girl problem dump life try look positive life try reflect friend live
42,theripist friend come
43,describe nah
44,brother go struggle find help able set path healing
45,friend get dump girl relationship year stay stop feel bad
46,open friend need emotional support
47,gf help lot shit lot shit
48,friend girl super depressed tell go kill night drive hour half look cop take hospital friend go hang help try talk person nt friend year cause stuff call blue thankgive year call get hospital number know end kid friend year huge douche psych ward try kill get hold talk answer shit year early mind people want situation like people goal purpose life sustain survival help people live little bit well people laugh sad help people basically treat human stranger respect kindness friend people need let people talk shit offer helpful advice swim shit go little light end tunnel switch idk long till flicker
49,calm friend bad stuff happen
50,act resource struggle school help schoolwork
51,friend go period intense depression sure
52,talk major blow girlfriend life tough time help
53,talk friend break
54,care people listen help tough time
55,internet lot people write talk problem girl relate nt know guess nice rant nt know irlsomeone look situation little bit objective think lot guy feel hard talk girl friend irl innermost feeling s feeling friend jokingly refer agony aunt
56,friend come ask advice try good possibly
57,friend deal anxiety desire life perfect describe care happen way simply talk try change subject drag fact want talk reality well pull help help basically talk give advice need hear want oh ok blow say line blunt find rude essential make progressy friend deal anxiety desire life perfect describe care happen way simply talk
58,simply friend somebody struggle
59,friend come say people acquaintance know kill try find comfort good friend kill junior year high school come hope find answer peace turmoil
60,people call talk sense maybe facebook chat
61,have self harm past share experience friend hope sway action
62,work problem friend
63,friend need help go tough stuff know need admit bring initiate talk help
64,sister pretty severe issue mental health try need like think help
65,help friend stuff
66,help encourage friend therapy listen problem let know
67,meet deal attention issue chance help unfortunately
68,remember specifically helpful rational possible listen people need fairly common occurrence
69,friend feel come talk listen give input
70,
71,try absolutely horrable way blunt
72,ex girlfriend depression anxiety hold listen tell go
73,judge people listen time naturally people come problem
74,grandmother go severe depression shortly difficulty personal experience relate share well helpful comfort
75,m like extremely open share experience help friend go similar situation question situation hesitate email open book excited people go help
76,good friend mom past away ode grade
77,camp counselor provide stability kid life trouble home situation
78,girlfriend addiction trouble start date feel addiction define person think people see look addiction spend night talk let vent people support feel help spot
79,person talk go thing talk help important realize
